学号	       姓名	期末成绩
551011001	a1	71
551011002	a2	73
551011003	a3	73
551011004	a4	62
551011005	a5	70
551011006	a6	81
551011007	a7	82
551011008	a8	73
551011009	a9	78
551011010	a10	85
551011011	a11	80
551011012	a12	85
551011013	a13	87
551011014	a14	81
551011015	a15	89
551011016	a16	71
551011017	a17	83
551011018	a18	90
551011019	a19	67
551011020	a20	52
551011021	a21	70
551011022	a22	36
551011023	a23	54
551011024	a24	86
551011025	a25	53
551011026	a26	69
551011027	a27	88
551011028	a28	58
551011029	a29	85
551011030	a30	90
551011031	a31	56
551011032	a32	76
551011033	a33	52
551011034	a34	77
551011035	a35	87
551011036	a36	68
551011037	a37	80
551011038	a38	75
551011039	a39	82
551011040	a40	65
551011041	a41	76
551011042	a42	34
551011043	a43	45
551011044	a44	72
551011045	a45	86
551011046	a46	89
551011047	a47	82
551011048	a48	68
551011049	a49	71
551011050	a50	73
551011051	a51	71
551011052	a52	73
551011053	a53	68
551011054	a54	70
551011055	a55	63
551011056	a56	51
551011057	a57	67
551011058	a58	89
551011059	a59	58
551011060	a60	58
551011061	a61	57
551011062	a62	63
551011063	a63	53
